epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,345.515,0.45061,0.94902,0.91311,0.88263,0.87617,0.94163,0.86997,0.37215,0.62268,0.86429,0.000475826,0.000475826,0.000475826
2,680.399,0.47326,0.5075,0.91685,0.84746,0.80167,0.88551,0.81976,0.38917,0.74047,0.88435,0.000920738,0.000920738,0.000920738
3,1015.45,0.455,0.44297,0.91055,0.92621,0.92394,0.97251,0.92244,0.32348,0.3873,0.84205,0.00133421,0.00133421,0.00133421
4,1352.42,0.43636,0.39818,0.90452,0.94291,0.9289,0.97663,0.92619,0.32371,0.37202,0.84499,0.00128753,0.00128753,0.00128753
5,1686.61,0.41415,0.37377,0.89622,0.96115,0.93082,0.9766,0.93898,0.29132,0.32229,0.84062,0.00124037,0.00124037,0.00124037
6,2019.46,0.39565,0.33868,0.89151,0.95924,0.94807,0.98419,0.95305,0.26548,0.2848,0.81624,0.00119322,0.00119322,0.00119322
7,2354.39,0.387,0.32664,0.89076,0.96427,0.94471,0.98332,0.95582,0.25934,0.28108,0.8193,0.00114606,0.00114606,0.00114606
8,2686.57,0.37276,0.31817,0.8868,0.95804,0.95497,0.98489,0.96119,0.23924,0.25941,0.81512,0.0010989,0.0010989,0.0010989
9,3018.02,0.3642,0.29849,0.88478,0.95502,0.94329,0.97952,0.95376,0.24032,0.27557,0.81761,0.00105174,0.00105174,0.00105174
10,3353.26,0.36155,0.29695,0.88483,0.97059,0.96547,0.98971,0.96933,0.22436,0.22827,0.80588,0.00100459,0.00100459,0.00100459
11,3685.99,0.351,0.28238,0.88244,0.96406,0.95181,0.98635,0.96413,0.23021,0.2449,0.81108,0.00095743,0.00095743,0.00095743
12,4018.13,0.34361,0.27494,0.8782,0.96958,0.96525,0.98824,0.97064,0.21215,0.21593,0.80317,0.000910273,0.000910273,0.000910273
13,4351.74,0.33803,0.26516,0.87655,0.97376,0.9565,0.98548,0.96732,0.22036,0.21612,0.81754,0.000863116,0.000863116,0.000863116
14,4683.42,0.32985,0.25402,0.87565,0.9698,0.96217,0.98788,0.97,0.20952,0.21407,0.80663,0.000815959,0.000815959,0.000815959
15,5033.65,0.32373,0.24992,0.87245,0.96848,0.96347,0.9873,0.96872,0.20815,0.2075,0.81015,0.000768802,0.000768802,0.000768802
16,5440.7,0.32242,0.24746,0.87425,0.97112,0.95992,0.98916,0.97198,0.20643,0.20514,0.80653,0.000721645,0.000721645,0.000721645
17,5845.36,0.31722,0.23721,0.87244,0.96788,0.96219,0.98763,0.97101,0.20393,0.19952,0.80703,0.000674488,0.000674488,0.000674488
18,6248.91,0.31478,0.23571,0.87079,0.97266,0.96768,0.98942,0.97419,0.19327,0.19025,0.79813,0.000627331,0.000627331,0.000627331
19,6653.51,0.30489,0.22721,0.86688,0.97066,0.96446,0.9885,0.97202,0.19248,0.1908,0.80319,0.000580174,0.000580174,0.000580174
20,7058.34,0.30459,0.2234,0.86875,0.97598,0.96933,0.99039,0.97694,0.19015,0.18219,0.7991,0.000533017,0.000533017,0.000533017
21,7482.37,0.20458,0.16984,0.78465,0.97326,0.96702,0.98928,0.97466,0.19237,0.1886,0.80079,0.00048586,0.00048586,0.00048586
22,7887.06,0.19608,0.16186,0.78266,0.97973,0.97162,0.99169,0.97975,0.18291,0.17031,0.79545,0.000438703,0.000438703,0.000438703
23,8285.8,0.18746,0.15175,0.77968,0.97693,0.96976,0.99131,0.97836,0.17965,0.17175,0.79239,0.000391546,0.000391546,0.000391546
24,8684.44,0.18172,0.1458,0.77546,0.97735,0.96323,0.98831,0.97519,0.18499,0.185,0.79798,0.000344389,0.000344389,0.000344389
25,9082.95,0.1764,0.13872,0.77535,0.98174,0.96953,0.99084,0.9794,0.17548,0.16384,0.79254,0.000297232,0.000297232,0.000297232
26,9481.65,0.17308,0.13306,0.77714,0.97922,0.96554,0.98999,0.97863,0.17498,0.17434,0.79073,0.000250075,0.000250075,0.000250075
27,9880.99,0.16804,0.12714,0.77576,0.9787,0.96261,0.98958,0.97804,0.17128,0.17483,0.79107,0.000202918,0.000202918,0.000202918
28,10280.6,0.1625,0.11913,0.7729,0.98019,0.97267,0.99168,0.98137,0.16672,0.15688,0.78946,0.000155761,0.000155761,0.000155761
29,10678.2,0.15816,0.11354,0.77203,0.98036,0.97173,0.99165,0.98163,0.16383,0.15269,0.78783,0.000108604,0.000108604,0.000108604
30,11078.2,0.15446,0.10898,0.77094,0.98148,0.97168,0.99144,0.98135,0.16403,0.14952,0.78899,6.1447e-05,6.1447e-05,6.1447e-05
